2N7002-7-F	from hqew, 捷辉电子商行	PIOPES	&nbsp;	4010	SOT-23
IT8716F-S/CXS/GB	from hqew, 捷辉电子商行	ITE	0728+	124	QFP128
IT8718F-S/EXS	from hqew, 捷辉电子商行	ITE	0908+	594	QFP
J1116BASE-DJ-E	from hqew, 捷辉电子商行	ELPIDA	0808+	133	BGA
JL82575EB ES	from hqew, 捷辉电子商行	INTEL	0941+	10	BGA
JM20330	from hqew, 捷辉电子商行	JMICRON	0701+	33	QFP64
JMB362-QGEZ0A	from hqew, 捷辉电子商行	JMICRON	0948+	1918	QFN-48
JMB363-LGAZOA	from hqew, 捷辉电子商行	JMICRON	0929+	36	QFP100
K4D263238E-GC33	from hqew, 捷辉电子商行	SAMSUNG	0425+	20	BGA
K4D26323RA-GC2A	from hqew, 捷辉电子商行	SAMSUNG	0319+	74	BGA
K4D64163HF-TC40	from hqew, 捷辉电子商行	SAMSUNG	0319+	100	SOP
K4G20325FC-HC04	from hqew, 捷辉电子商行	SAMSUNG	1216+	50	BGA
K4J52324QH-HJ08	from hqew, 捷辉电子商行	SAMSUNG	0952+	107	BGA
K4N56163QI-ZC25	from hqew, 捷辉电子商行	SAMSUNG	0743+	440	BGA
L6718	from hqew, 捷辉电子商行	ST	1120+	1121	QFN56
LC4032V-75-10I	from hqew, 捷辉电子商行	LATTICE	0608+	119	QFP48
LE82P965 SL9QX	from hqew, 捷辉电子商行	INTEL	0645+	445	BGA
LP61G6464AF-5	from hqew, 捷辉电子商行	ELITEMT	99+	47	QFP128
LPC47M133-NC	from hqew, 捷辉电子商行	SMSC	0410+	88	QFP128
LPC47M997-NR	from hqew, 捷辉电子商行	SMSC	0505+	493	QFP128
LPC47M997-NW	from hqew, 捷辉电子商行	SMSC	0508+	98	QFP128
LSISAS1064E B1	from hqew, 捷辉电子商行	LSI	0647+	32	BGA
MX25L12835EMI-10G	from hqew, 捷辉电子商行	MXIC	11+	18	SOP16
MX25L3205DPI-12G	from hqew, 捷辉电子商行	MICX	0823+	100	DIP8
MX25L8005M2C	from hqew, 捷辉电子商行	MXIC	0632+	664	SOP8
M25P05-VNM5T4	from hqew, 捷辉电子商行	ST	09+	122	SOP8
M25P10-VMN6	from hqew, 捷辉电子商行	ST	09+	40	SOP8
MAX1772EEI	from hqew, 捷辉电子商行	MAXIM	0612+	710	SSOP
N13M-GE1-B-A1	from hqew, 捷辉电子商行	NVIDIA	1138+	275	BGA
N1G8167HFG	from hqew, 捷辉电子商行	NGVAIFN	0918+	13	QFP
NF740A-SLI-N-A2	from hqew, 捷辉电子商行	NVIDIA	0816+	88	BGA
NF-740I-SLI-B2	from hqew, 捷辉电子商行	NVIDIA	0844+	92	BGA
NH82801HBM SLB9A	from hqew, 捷辉电子商行	INTEL	1010+	99	BGA
NH82801HBM SLB9A	from hqew, 捷辉电子商行	INTEL	1009+	360	BGA
P4X266A	from hqew, 捷辉电子商行	VIA	0240+	526	BGA
PC82573L	from hqew, 捷辉电子商行	INTEL	0624+	99	BGA
PC83757-OIBM/VLA	from hqew, 捷辉电子商行	NS	0603+	60	QFP128
PCI7411	from hqew, 捷辉电子商行	TI	06+	115	BGA
PDC20262	from hqew, 捷辉电子商行	PROMISE	99+	18	QFP128
PDC20276	from hqew, 捷辉电子商行	PROMISE	0139+	21	QFP128
PI3PCIE2612-AZFE	from hqew, 捷辉电子商行	PERICOM	0810+	270	QFN56
PM25LV010A-100SCE	from hqew, 捷辉电子商行	PMC	1011+	12	SOP8
PM25LV040-100BCE	from hqew, 捷辉电子商行	PMC	0630+	34	SOIC8
R2600-G	from hqew, 捷辉电子商行	RDC	0611+	10	BGA
RC82540EM	from hqew, 捷辉电子商行	INTEL	0410+	29	BGA
RT2661T	from hqew, 捷辉电子商行	Other	0702+	52	TQFP
RTL8100BL	from hqew, 捷辉电子商行	REALTEK	0525+	487	QFP
RTL8101E	from hqew, 捷辉电子商行	REALTEK	07/08/09	509	QFN
RTL8101E	from hqew, 捷辉电子商行	REALTEK	09+	509	QFN
RTL8101L	from hqew, 捷辉电子商行	REALTEK	02/03/04	499	QFP
RTL8110SC	from hqew, 捷辉电子商行	REALTEK	11+	1644	QFP128
RTL8111DL	from hqew, 捷辉电子商行	REALTEK	09+	347	QFP
RTL8201BL	from hqew, 捷辉电子商行	REALTEK	05+	158	QFP
RTM360-520	from hqew, 捷辉电子商行	REALTEK	061+	182	SSOP
RTM682-800	from hqew, 捷辉电子商行	REALTEK	0644+	331	SSOP56
RTM865-301	from hqew, 捷辉电子商行	REALTEK	05+	103	SSOP
SAA7131E/03/G	from hqew, 捷辉电子商行	PHILIPS	0807+	55	BGA
SAA7131E/03/G	from hqew, 捷辉电子商行	PHILIPS/NXP	0626+	36	BGA
SCH5307-NS	from hqew, 捷辉电子商行	SMSC	0637+	304	QFP
SIL1362CLU	from hqew, 捷辉电子商行	SILICON	0532+	139	QFP48
SIL1392CNU	from hqew, 捷辉电子商行	SILICON	0812+	252	QFN
SN081BA3	from hqew, 捷辉电子商行	TI	05+	537	QFP80
SST25VF032B-66-4I-S2AF	from hqew, 捷辉电子商行	SST	09+	20	SOP8
SST25VF080B-50-4C-S2AF	from hqew, 捷辉电子商行	SST	0751+	240	SOP8
SST39SF020A-70-4C-NH	from hqew, 捷辉电子商行	SST	05+	240	PLCC
SST39VF512-90-4C-NH	from hqew, 捷辉电子商行	SST	0114+	192	PLCC
SST49LF003A-4C-NHE	from hqew, 捷辉电子商行	SST	0629+	59	PLCC
SST49LF003B-33-4C-NHE	from hqew, 捷辉电子商行	SST	06+	569	PLCC
SST49LF004A-33-4C-NH	from hqew, 捷辉电子商行	SST	05+	31	PLCC
SST49LF008A-33-4C-NH	from hqew, 捷辉电子商行	SST	0549+	30	PLCC
SST49LF020-33-4C-NH	from hqew, 捷辉电子商行	SST	01+	12	PLCC
SST49LF040B-33-4C-NHE	from hqew, 捷辉电子商行	SST	0617+	410	PLCC
STD85N3LH5	from hqew, 捷辉电子商行	ST	0921+	205	TO-252
SWC-NB7480-P01	from hqew, 捷辉电子商行	SERVERWORKS	0253+	52	BGA
TDA10046A	from hqew, 捷辉电子商行	PHILIPS	0634+	50	TQFP64
TPS2220A	from hqew, 捷辉电子商行	TI	04+	46	SOP24
TSB43AB22A	from hqew, 捷辉电子商行	TI	05+	47	QFP
TSB43AB23	from hqew, 捷辉电子商行	TI	04+	58	QFP100
TSB81BA3	from hqew, 捷辉电子商行	TI	04+	31	QFP100
VSC8201RX	from hqew, 捷辉电子商行	VITESSE	0522+	358	QFP128
VT1616	from hqew, 捷辉电子商行	VIA	0352CD	181	QFP48
VT1618	from hqew, 捷辉电子商行	VIA	0707CD	518	QFP48
VT6212	from hqew, 捷辉电子商行	VIA	0421+CD	820	QFP128
VT8233A	from hqew, 捷辉电子商行	VIA	0251+	320	BGA
VT8237R PLUS	from hqew, 捷辉电子商行	VIA	0652CD	1948	BGA
VT8601T	from hqew, 捷辉电子商行	VIA	0550CD	39	BGA
W83176G-733	from hqew, 捷辉电子商行	WINBOND	0527+	299	SSOP48
W83194BG-903	from hqew, 捷辉电子商行	WINBOND	0535+	293	SSOP48
W83195BG-118	from hqew, 捷辉电子商行	WINBOND	0527+	443	SSOP56
W83195BR-102	from hqew, 捷辉电子商行	WINBOND	05+	52	SSOP
W83195BR-102	from hqew, 捷辉电子商行	WINBOND	0530+	476	SSOP56
W83195BR-119	from hqew, 捷辉电子商行	WINBOND	0531+	173	SSOP56
W83195CG-920	from hqew, 捷辉电子商行	WINBOND	0544+	347	SSOP56
W83195CG-922	from hqew, 捷辉电子商行	WINBOND	0720+	2766	SSOP56
W83323G	from hqew, 捷辉电子商行	WINBOND	09+	122	SOP8
W83627EHF	from hqew, 捷辉电子商行	WINBONE	0539+	120	QFP
W83627EHG	from hqew, 捷辉电子商行	WINBONE	0611+	139	QFP
W83627HF-AW	from hqew, 捷辉电子商行	WINBONE	0340+	34	QFP
W83667HG-A	from hqew, 捷辉电子商行	WINBONE	0910+	174	QFP
W83792D	from hqew, 捷辉电子商行	WINBONE	0552+	183	QFP
W83L771G	from hqew, 捷辉电子商行	WINBOND	0718+	29079	MSSOP8
WG82567LM	from hqew, 捷辉电子商行	INTEL	1008+	1521	QFN
WJLXT972MLC/WJ972MA4	from hqew, 捷辉电子商行	CORTINA	1220+	811	QFP48
WPCN385LA0DG	from hqew, 捷辉电子商行	WINBOND	1026+	173	LQFP48
XC9536XL-10VQ44	from hqew, 捷辉电子商行	XILINX	0537+	85	QFP44
XC9572XL	from hqew, 捷辉电子商行	XILINX	0302+	50	QFP
1034AH-J	from hqew, 捷辉电子商行	LUCENT	0045+	369	QFP
216DCHAVA12FAG M62-CSP64	from hqew, 捷辉电子商行	ATI	0721+	110	BGA
218-0844012	from hqew, 捷辉电子商行	AMD	1240+	91	BGA
41B143A05U	from hqew, 捷辉电子商行	CRS	0541+	31	BGA
82562EZ	from hqew, 捷辉电子商行	INTEL	0452+	19	BGA
82562GZ	from hqew, 捷辉电子商行	INTEL	0617+	600	BGA
88E1111-RCJ	from hqew, 捷辉电子商行	MARVELL	0539+	20	QFP
98DX240-A3	from hqew, 捷辉电子商行	MARVELL	&nbsp;	130	BGA
AD1181G	from hqew, 捷辉电子商行	KHTEK	11+	112	SOP14
AD1885JST	from hqew, 捷辉电子商行	AD	0508+	36	QFP48
AD1885JST	from hqew, 捷辉电子商行	AD	01+	76	QFP
ALC660	from hqew, 捷辉电子商行	REALTEK	0613+	657	QFP
ALC888	from hqew, 捷辉电子商行	REALTEK	08+	334	QFP
APL1085UC-TRL	from hqew, 捷辉电子商行	ANPEC	&nbsp;	265	TO-252
APL1117ADJ	from hqew, 捷辉电子商行	ANPEC	04+	95	SOT223
AR2414-001	from hqew, 捷辉电子商行	ATHEROS	0615+	20	BGA
AR8132L-AL1E	from hqew, 捷辉电子商行	ATHEROS	1009+	18	QFN
BCM5751KFBG	from hqew, 捷辉电子商行	BROADCOM	0608+	49	BGA
BCM5751KFBG	from hqew, 捷辉电子商行	BROADCOM	0619+	627	BGA
BCM5786KMLG P12	from hqew, 捷辉电子商行	BROADCOM	1022+	2251	QFN
BCM5787KMLG	from hqew, 捷辉电子商行	BROADCOM	0709+	281	BGA
BD82027T QPJHES	from hqew, 捷辉电子商行	INTEL	1129+	30	BGA
BD-9G	from hqew, 捷辉电子商行	Other	&nbsp;	34	QFN
CA0106-DAT/LE	from hqew, 捷辉电子商行	CREATIVE	0530+	77	QFP
CIC863235	from hqew, 捷辉电子商行	LSI	07+	168	QFP
ES1938S	from hqew, 捷辉电子商行	ESS	0269+	28	QFP100
G92-159-A2	from hqew, 捷辉电子商行	NVIDIA	0921+R	188	BGA
H5RS1H23MFR-NC2	from hqew, 捷辉电子商行	HY	0918+	14	BGA
H5RS5223CFR-N3C	from hqew, 捷辉电子商行	HY	0924+	29	BGA
HTV270	from hqew, 捷辉电子商行	HUAYAMICRO	0834+	61	QFP
HY5DU283222AF-25	from hqew, 捷辉电子商行	HYNIX	0432+	500	BGA
HY5DU573222FP-28	from hqew, 捷辉电子商行	HY	0609+	315	BGA
HY5PS5162FFR-25C	from hqew, 捷辉电子商行	HY	0841+	60	BGA
HY5PS561621AFP-25	from hqew, 捷辉电子商行	HY	0720+	2365	BGA
HY5RS573225BFP-14	from hqew, 捷辉电子商行	HY	0732+	16	BGA
HYB18H512321BF-10	from hqew, 捷辉电子商行	QIMONDD	0812+	147	BGA
HYB18T512161B2F-20	from hqew, 捷辉电子商行	QIMONDD	0710+	92	BGA
ISL6506ACBZ	from hqew, 捷辉电子商行	INTERSIL	07+	10	ICL
IT8212F/DXS	from hqew, 捷辉电子商行	ITE	0546+	148	QFP128
IT8712F-A/GXS/GB	from hqew, 捷辉电子商行	ITE	0547+	580	QFP128
IT8716F-S/FXS	from hqew, 捷辉电子商行	ITE	0552+	105	QFP128
K4D263238G-GC2A	from hqew, 捷辉电子商行	SAMSUNG	0507+	128	BGA
K4N51163QE-ZC25	from hqew, 捷辉电子商行	SAMSUNG	0743+	14	BGA
K4S561633F-XL75	from hqew, 捷辉电子商行	SAMSUNG	05+	67	BGA
KL5KUSB101B	from hqew, 捷辉电子商行	KAM	99+	567	TQFP100
MC3463ADR2G	from hqew, 捷辉电子商行	ON SEMI	&nbsp;	63	SOP8
M-L-ET131DI	from hqew, 捷辉电子商行	AGERE	0534+	46	QFN
MX25L4005AM2C-12G	from hqew, 捷辉电子商行	MXIC	0811+	56	SOP
MX25L4005CMI-12G	from hqew, 捷辉电子商行	MXIC	09+	43	SOP8
M25P10-AVMN6TP	from hqew, 捷辉电子商行	ST	0823+	24	SOP8
NU82X38 SLALJ	from hqew, 捷辉电子商行	INTEL	0743+	94	BGA
P4M900 CD	from hqew, 捷辉电子商行	VIA	0732+	210	BGA
PC2500 CD	from hqew, 捷辉电子商行	VIA	0611+	32	BGA
PI3L301DAE	from hqew, 捷辉电子商行	PERTCOM	0434+	79	TSSOP48
PM49FL004T-33JCE	from hqew, 捷辉电子商行	PMC	0701+	357	PLCC
PMST3904	from hqew, 捷辉电子商行	NXP	&nbsp;	50	SOT-323
PS8101QFN48GTR-B0	from hqew, 捷辉电子商行	PARADE	08+	445	QFN48
RT8012APQW	from hqew, 捷辉电子商行	RICHTEK	0922+	1235	QFN
RT9183-33PG	from hqew, 捷辉电子商行	RICHTEK	&nbsp;	93	SOT-223
RTL8100C	from hqew, 捷辉电子商行	REALTEK	07+	189	QFP
RTL8110SB	from hqew, 捷辉电子商行	REALTEK	0527+	79	QFP
RTL8671B-VD-GR	from hqew, 捷辉电子商行	REALTEK	10+	1399	QFP
S29AL008D70BFI02	from hqew, 捷辉电子商行	SPANSIO	0537+	19	BGA
S29AL032D70TFI04	from hqew, 捷辉电子商行	SPANSIO	0718+	192	TSOP48
SCH5407-NW	from hqew, 捷辉电子商行	SMSC	0701+	82	QFP128
SCH5617-NS	from hqew, 捷辉电子商行	SMSC	0746+	40	QFP128
SCH5617-NS	from hqew, 捷辉电子商行	SMSC	0737+	217	QFP128
SIL1392CNU	from hqew, 捷辉电子商行	SILICON	0728+	84	QFN
SIL3512ECTU128	from hqew, 捷辉电子商行	SILICON	0521+	150	TQFP128
SST39SF040-70-4C-NH	from hqew, 捷辉电子商行	SST	05+	382	PLCC
SST39SF040-70-4C-NHE	from hqew, 捷辉电子商行	SST	0623+	25	PLCC
SST39VF800A-70-4C-B3KE	from hqew, 捷辉电子商行	SST	0539+	70	BGA
SST49LF004B-33-4C-NH/NHE	from hqew, 捷辉电子商行	SST	06+	1207	PLCC
SST49LF040B-33-4C-NHE	from hqew, 捷辉电子商行	SST	06+	221	PLCC
TPS2220B	from hqew, 捷辉电子商行	TI	07+	71	SOP24
VT6103G	from hqew, 捷辉电子商行	VIA	0737CD	3412	SSOP48
VT6212L	from hqew, 捷辉电子商行	VIA	0521CD	1707	QFP128
VT6307	from hqew, 捷辉电子商行	VIA	0547CD	688	QFP128
VT8237R PLUS CD	from hqew, 捷辉电子商行	VIA	0727+	397	BGA
VT8601A	from hqew, 捷辉电子商行	VIA	0207+	156	BGA
W83196R-718	from hqew, 捷辉电子商行	WINBOND	0438+	324	SSOP48
W83196R-718	from hqew, 捷辉电子商行	WINBOND	0439+	58	SSOP56
W83303AD	from hqew, 捷辉电子商行	WINBONE	0537+	259	QFP
W83627HG-AW	from hqew, 捷辉电子商行	WINBONE	0609+	29	QFP
W83697HF	from hqew, 捷辉电子商行	WINBONE	0431+	75	QFP
W83792G	from hqew, 捷辉电子商行	WINBONE	0719+	86	QFP
215-0716032	from hqew, 捷辉电子商行	AMD	0953+	1994	BGA
216BGCKC13FG M66-P	from hqew, 捷辉电子商行	ATI	0623+	15	BGA
216GJLAKC13FAG	from hqew, 捷辉电子商行	ATI	0741+	400	BGA
78L05A	from hqew, 捷辉电子商行	TI	09+	100	SOP-8
82547EI	from hqew, 捷辉电子商行	INTEL	0549+	46	BGA
88E8055-NNC1	from hqew, 捷辉电子商行	MARVELL	0645+	55	QFN
88E8056-NNC1	from hqew, 捷辉电子商行	MARVELL	0713+	232	QFN
AD1981BJST	from hqew, 捷辉电子商行	AD	0517+	71	QFP
ADV7196AKS	from hqew, 捷辉电子商行	AD	&nbsp;	212	QFP
AIC-7901X	from hqew, 捷辉电子商行	ADAPREC	0756+	12	BGA
ALC653	from hqew, 捷辉电子商行	REALTEK	07+	1399	QFP
ALC658	from hqew, 捷辉电子商行	REALTEK	05+	335	QFP
ALC662	from hqew, 捷辉电子商行	REALTEK	09+	415	QFP
ALC850	from hqew, 捷辉电子商行	REALTEK	06+	1652	QFP
APW7120	from hqew, 捷辉电子商行	ANPEC	06+	144	SOP8
AR2424-AB1A	from hqew, 捷辉电子商行	ATHEROS	0624+	20	BGA
AT24C16BN-SH-T	from hqew, 捷辉电子商行	ATMEL	0716+	84759	SOP8
BCM5241A1KMLG	from hqew, 捷辉电子商行	BROADCOM	0746+	106	QFN
BCM5787MKFBG	from hqew, 捷辉电子商行	BROADCOM	0638+	30	BGA
CX11252-15	from hqew, 捷辉电子商行	CONEXANT	0220+	2700	QFP
DS90C363AMTDX	from hqew, 捷辉电子商行	NS	0130+	500	SOP
EM658160TS-4	from hqew, 捷辉电子商行	ETRONTECH	0701+	110	SOP
FDD6035AL	from hqew, 捷辉电子商行	FAIRCHILD	11+	70	TO-252
G526-2P1UF	from hqew, 捷辉电子商行	GMJ	&nbsp;	38	SOP-9
HY5DU283222AF-28	from hqew, 捷辉电子商行	HY	0443+	36	BGA
HY5PS121621BFP-28	from hqew, 捷辉电子商行	HY	0638+	331	BGA
HY5PS561621BFP-2	from hqew, 捷辉电子商行	HY	0732+	155	BGA
HY5RS123235BFP-11	from hqew, 捷辉电子商行	HY	0636+	274	BGA
HYB18H512321AF-14	from hqew, 捷辉电子商行	INFINEN	0552+	10	BGA
HYB18T512161B2F-20	from hqew, 捷辉电子商行	INFINEN	0750+	95	BGA
ICS932SQ420BGLF	from hqew, 捷辉电子商行	ICS	1025+	15	TSSOP64
ICS952505AFLF	from hqew, 捷辉电子商行	ICS	0601+	48	SSOP56
IDGV1G-05A1F1C-40X	from hqew, 捷辉电子商行	Other	0852+	48	BGA
IT8712F-A/GXS/GB	from hqew, 捷辉电子商行	ITE	0635+	185	QFP128
K4J10324QD-HC12	from hqew, 捷辉电子商行	SAMSUNG	1004+	802	BGA
K4J55323QF-GC20	from hqew, 捷辉电子商行	SAMSUNG	0516+	28	BGA
K4N51163QE-ZC25	from hqew, 捷辉电子商行	SAMSUNG	0804+	12	BGA
K4W1G1646D-EJ11	from hqew, 捷辉电子商行	SAMSUNG	0837+	100	BGA
MM74HC132MX	from hqew, 捷辉电子商行	FALRCHIL	&nbsp;	456	SOP14
M1695-B1A(GN)	from hqew, 捷辉电子商行	NVIDIA	0749+	110	BGA
M45PE20-VMN6TP	from hqew, 捷辉电子商行	ST	0516+	59	SOP8
M50FW040-K5	from hqew, 捷辉电子商行	ST	0449+	93	PLCC
PC87431M	from hqew, 捷辉电子商行	NS	06+	40	TSSOP48
PEX8608-BG50BC	from hqew, 捷辉电子商行	PLX	0936+	70	BGA
PI3HDMI412ADZBEX	from hqew, 捷辉电子商行	PERICOM	0735+	200	QFN56
R5C847-CSP208Q	from hqew, 捷辉电子商行	RICOH	10+	151	BGA
RT9605BPQV	from hqew, 捷辉电子商行	RICHTEK	0731+	5506	QFN-24
RTL8102E	from hqew, 捷辉电子商行	REALTEK	08+	6490	QFN
RTL8111B	from hqew, 捷辉电子商行	REALTEK	07/08/09	1349	QFN
RTL8111B	from hqew, 捷辉电子商行	REALTEK	09+	1349	QFN
RTL8201CL	from hqew, 捷辉电子商行	REALTEK	06+	138	QFP
RTL8211BL	from hqew, 捷辉电子商行	REALTEK	09+	702	QFP
RTM360-803	from hqew, 捷辉电子商行	REALTEK	0538+	8137	SSOP48
RTM865-382	from hqew, 捷辉电子商行	REALTEK	0549+	75	SSOP56
SAS2308-1	from hqew, 捷辉电子商行	LSI	1150+	23	BGA
SII1392CNU	from hqew, 捷辉电子商行	SILICOM	0724+	66	QFN
SIL3114CTU	from hqew, 捷辉电子商行	SILICON	0829+	46	TQFP176
SIL3726CBHU	from hqew, 捷辉电子商行	SILICON	0819+	59	BGA
SIL5723CNU	from hqew, 捷辉电子商行	SILICON	0818+	112	QFN
SN9C234EJG	from hqew, 捷辉电子商行	SONIX	1205+	50788	QFP46
SST25VF016B-50-4C-S2AF	from hqew, 捷辉电子商行	ST	0951+	73	SOP8
SST49LF002B-33-4C-NHE	from hqew, 捷辉电子商行	SST	0843+	452	PLCC
SST49LF008A-33-4C-NHE	from hqew, 捷辉电子商行	SST	0619+	121	PLCC
V58C2256324SAB4	from hqew, 捷辉电子商行	Other	0919+	3364	BGA
VL810-Q8	from hqew, 捷辉电子商行	VLI	1104+	19	QFN
W25Q64BVSSIG	from hqew, 捷辉电子商行	WINBOND	09+	59	SOP8
W83195BG-102	from hqew, 捷辉电子商行	WINBOND	0608+	277	SSOP56
W83301GG	from hqew, 捷辉电子商行	WINBOND	06+	373	SOP
W83627HF-AW	from hqew, 捷辉电子商行	WINBOND	0418+	297	QFP
WG82567LM	from hqew, 捷辉电子商行	INTEL	0947+	289	QFN
213RT1ZUA43	from hqew, 捷辉电子商行	ATI	0509+	1	QFP128
213RT1ZUA43	from hqew, 捷辉电子商行	ATI	0436+	1	QFP128
215-0669061	from hqew, 捷辉电子商行	ATI	0832+	4	BGA
215-0669069	from hqew, 捷辉电子商行	ATI	0833+	2	BGA
215-0669069	from hqew, 捷辉电子商行	ATI	1012+	13	BGA
215-0674020	from hqew, 捷辉电子商行	AMD	0920+	78	BGA
215-0674028 IGP	from hqew, 捷辉电子商行	AMD	0806+	5	BGA
215-0708003	from hqew, 捷辉电子商行	ATI	0726+	2	BGA
215-0716020	from hqew, 捷辉电子商行	AMD	1017+	7	BGA
215-0725013	from hqew, 捷辉电子商行	ATI	0948+	8	BGA
215-0725015	from hqew, 捷辉电子商行	ATI	0937+	15	BGA
215-0725015	from hqew, 捷辉电子商行	ATI	0946+	6	BGA
215-0725016	from hqew, 捷辉电子商行	ATI	0935+	4	BGA
215-0725016	from hqew, 捷辉电子商行	ATI	0923+	42	BGA
215-0725016	from hqew, 捷辉电子商行	ATI	0841+	2	BGA
215-0727019	from hqew, 捷辉电子商行	ATI	0951+	8	BGA
215-0803100	from hqew, 捷辉电子商行	AMD	1149+	1	BGA
215B1EAVA12FG RV516	from hqew, 捷辉电子商行	ATI	0815+	157	BGA
215B1EAVA12FG RV516	from hqew, 捷辉电子商行	ATI	0720+	18	BGA
215BCDAKA14FG	from hqew, 捷辉电子商行	ATI	0701+	2	BGA
215BCFAKA14FG RV505	from hqew, 捷辉电子商行	ATI	0633+	10	BGA
215C78AVA12PH	from hqew, 捷辉电子商行	ATI	0613+	41	BGA
215C78AVA12PH	from hqew, 捷辉电子商行	ATI	0430+	1	BGA
215C78AVA12PHG	from hqew, 捷辉电子商行	ATI	0614+	1	BGA
215C78AVA12PHG	from hqew, 捷辉电子商行	ATI	0703+	45	BGA
215CADAKA24FG RV530PRO	from hqew, 捷辉电子商行	ATI	0550+	10	BGA
215CADAKA26FG RV530	from hqew, 捷辉电子商行	ATI	0607+	75	BGA
215CAFAKA13FG X1600SE	from hqew, 捷辉电子商行	ATI	0619+	8	BGA
215CCDBKB12FG	from hqew, 捷辉电子商行	ATI	0649+	144	BGA
215CDABKA15FG	from hqew, 捷辉电子商行	ATI	0736+	16	BGA
215CQA6AVA12FG	from hqew, 捷辉电子商行	AMD	0740+	208	BGA
215CQA6AVA12FG	from hqew, 捷辉电子商行	AMD	0927+	26	BGA
215CQA6AVA12FG	from hqew, 捷辉电子商行	AMD	0719+	43	BGA
215CQA6AVA12FG	from hqew, 捷辉电子商行	AMD	0717+	5	BGA
215FADAKA13FG RV515	from hqew, 捷辉电子商行	ATI	0630+	12	BGA
215FPS3ATA11H 9100IGP PRO RS350	from hqew, 捷辉电子商行	ATI	0418+	1	BGA
215FPS3ATA11H 9100IGP PRO RS350	from hqew, 捷辉电子商行	ATI	0423+	4	BGA
215HPS3ATA11H RC350	from hqew, 捷辉电子商行	ATI	0345+	5	BGA
215J78ANA12PH	from hqew, 捷辉电子商行	ATI	0414+	27	BGA
215L78AVA12PH	from hqew, 捷辉电子商行	ATI	0423+	4	BGA
215LCAAKA12F X700	from hqew, 捷辉电子商行	ATI	0438+	2	BGA
215LCAAKA13FG X700	from hqew, 捷辉电子商行	ATI	0509+	12	BGA
215LKBALA15FG	from hqew, 捷辉电子商行	ATI	0948+	7	BGA
215LKBALA15FG	from hqew, 捷辉电子商行	ATI	0845+	39	BGA
215LKCAKA14FG	from hqew, 捷辉电子商行	ATI	0722+	9	BGA
215LL78ANA11H 9200	from hqew, 捷辉电子商行	ATI	&nbsp;	1	BGA
215PAGAKA12FG	from hqew, 捷辉电子商行	ATI	0636+	15	BGA
215QDA7AKA21FG	from hqew, 捷辉电子商行	AMD	0933+	5	BGA
215QDA7AKA21FG	from hqew, 捷辉电子商行	AMD	0937+	8	BGA
215R6VALA12 ES1000	from hqew, 捷辉电子商行	ATI	0510+	6	BGA
215R6VALA21 ES1000	from hqew, 捷辉电子商行	ATI	0613+	4	BGA
215R6VALA21G ES1000	from hqew, 捷辉电子商行	ATI	0721+	25	BGA
215R6VALA21G ES1000	from hqew, 捷辉电子商行	ATI	0745+	22	BGA
215R8JAGA12F RV350	from hqew, 捷辉电子商行	ATI	0339+	2	BGA
215R8JCKA13F 9600PRO	from hqew, 捷辉电子商行	ATI	0506+	47	BGA
215RBBAKA11F R430/X880PRO	from hqew, 捷辉电子商行	ATI	0507+	33	BGA
215RCNALA11FL	from hqew, 捷辉电子商行	ATI	0523+	51	BGA
215RCNALA11FL 9550	from hqew, 捷辉电子商行	ATI	0518+	5	BGA
215RCNALA11FL 9550	from hqew, 捷辉电子商行	ATI	0524+	18	BGA
215RDA7AKA21FG	from hqew, 捷辉电子商行	AMD	0745+	12	BGA
215REDAKA12F	from hqew, 捷辉电子商行	ATI	0425+	24	BGA
215RELAKA12F X300	from hqew, 捷辉电子商行	ATI	0425+	14	BGA
215RETAKA12F X300SE	from hqew, 捷辉电子商行	ATI	0446+	10	BGA
215RETALA12F X300SE	from hqew, 捷辉电子商行	ATI	0714+	12	BGA
215RFA4ALA12FG RS482/200	from hqew, 捷辉电子商行	ATI	0606+	50	BGA
215RPA4AKA22HK RS480	from hqew, 捷辉电子商行	ATI	537+	6	BGA
215RQA6AVA12FG	from hqew, 捷辉电子商行	AMD	0827+	13	BGA
215RQA6AVA12FG	from hqew, 捷辉电子商行	AMD	0931+	26	BGA
215RQA6AVA12FG	from hqew, 捷辉电子商行	AMD	0729+	178	BGA
215RQA6AVA14FG	from hqew, 捷辉电子商行	AMD	0726+	10	BGA
215S8CAKA23FG X550	from hqew, 捷辉电子商行	ATI	0651+	2	BGA
215S8DAKA23F	from hqew, 捷辉电子商行	ATI	0549+	6	BGA
215S8DAKA23F X550	from hqew, 捷辉电子商行	ATI	0544+	54	BGA
215S8DAKA23F X550	from hqew, 捷辉电子商行	ATI	0549+	9	BGA
215S8KAGA21F	from hqew, 捷辉电子商行	ATI	0406+	9	BGA
215S8KAGA22F X600PRO	from hqew, 捷辉电子商行	ATI	0433+	20	BGA
215S8ZAKA22F X600PRO	from hqew, 捷辉电子商行	ATI	0442+	1	BGA
215S8ZAKA22F X600PRO	from hqew, 捷辉电子商行	ATI	0430+	1	BGA
215SCAAKA13FS X700SE	from hqew, 捷辉电子商行	ATI	0529+	250	BGA
216-0732032	from hqew, 捷辉电子商行	ATI	0937+	5	BGA
216-0732032 HD4850	from hqew, 捷辉电子商行	ATI	1002+	39	BGA
